Season,Date,Team Name,Opponent,Location,Outcome,Sheet,Stone Color,Game Type,Planned Ends,Ends Played,End 1,End 2,End 3,End 4,End 5,End 6,End 7,End 8,End 9,End 10
2023-2024,3/25/2023,Monday_Hijinks,Sleeper,Denver Curling Club,Win,C,Yellow,Social Leauge,8,8,+1N,+1N,0N,+2N,-3N,-2H,-2H,,,
2023-2024,4/1/2023,Monday_Hijinks,Wilson,Denver Curling Club,Win,A,Yellow,Social Leauge,8,8,+3H,-1N,+1H,-3N,+3H,-2N,+1H,+1N,,
2023-2024,9/14/2023,Subbing,Feldman,Denver Curling Club,Win,A,Yellow,Bonspiel,8,8,+2H,-1N,+1H,-2N,+2H,-3N,+2H,+1N,,
2023-2024,9/15/2023,Subbing,Neill,Denver Curling Club,Loss,B,Red,Bonspiel,8,7,+1H,-2N,0H,-3H,+1H,+2N,-1N,,,
2023-2024,9/22/2023,Subbing,Craftwerk,Denver Curling Club,Win,D,Yellow,Bonspiel,8,7,+3H,+1N,+1N,-1N,-2H,+1H,+1N,,,
2023-2024,9/23/2023,Subbing,Braustolz,Denver Curling Club,Loss,B,Red,Bonspiel,8,7,-2H,+2H,+1N,-3N,-1H,-1H,+2H,,,
2023-2024,9/23/2023,Subbing,Watzdorfer,Denver Curling Club,Win,D,Yellow,Bonspiel,8,7,+1H,+2N,+1N,+1N,-1N,+1H,+5N,,,
2023-2024,9/24/2023,Subbing,Holzlandbrau,Denver Curling Club,Loss,C,Yellow,Bonspiel,8,6,-1H,+1H,-1N,-1H,+1H,-2N,,,,
2023-2024,9/29/2023,Subbing,FAC,Denver Curling Club,Win,B,Yellow,Social Leauge,8,7,-1N,+2H,+1N,-1N,+1H,+1N,+3N,,,
2023-2024,10/2/2023,Monday_Hijinks,Rain,Denver Curling Club,Loss,A,Yellow,Social Leauge,8,8,0H,+2H,0N,-1N,-1H,-2H,+3H,-2N,,
2023-2024,10/4/2023,Subbing,Weds Night,Denver Curling Club,Win,C,Red,Social Leauge,8,8,+3N,-2N,-2H,+2H,-1N,-1H,+1H,+1N,,
2023-2024,10/5/2023,Thursday_Rookies,Andrews,Rock Creek Curling,Loss,E,Green,Competitive League,8,8,+1N,+2N,-3N,+1H,+1N,+1N,-2N,-3H,,
2023-2024,10/9/2023,Monday_Hijinks,White,Denver Curling Club,Win,B,Red,Social Leauge,8,6,+3H,-2N,+4H,-1N,+2H,+3H,,,,
2023-2024,10/10/2023,Subbing,Tues Comp,Denver Curling Club,Loss,D,Yellow,Competitive League,8,7,+1H,+1N,-4N,-1H,+1H,-1N,-1H,,,
2023-2024,10/12/2023,Thursday_Rookies,Carle,Rock Creek Curling,Win,B,Green,Competitive League,8,6,+1N,+1N,+3N,+1N,+1N,-1N,,,,
2023-2024,10/16/2023,Monday_Hijinks,Maule,Denver Curling Club,Win,A,Red,Social Leauge,8,6,+1H,-1N,0H,+1H,+2N,+1N,,,,
2023-2024,10/19/2023,Thursday_Rookies,Wood,Rock Creek Curling,Loss,D,Green,Competitive League,8,8,-3N,+1H,-1N,+2H,+1N,+1N,-1N,-1H,,
2023-2024,10/20/2023,Subbing,FAC,Denver Curling Club,Loss,C,Red,Social Leauge,8,7,-2N,+1H,-1N,+4H,-1N,-3H,-1H,,,
